user_id,behaviour_type,impulse_sensitivity,self_control_factor,base_spend_mean,base_txn_probability
112,Emotional_Night,0.878,0.378,1036.64,0.6
113,Emotional_Night,0.745,0.43,479.0,0.6
114,Emotional_Night,0.725,0.489,816.67,0.6
115,Emotional_Night,0.844,0.237,619.84,0.6
116,Weekend_Impulse,0.687,0.537,894.18,0.5
117,Disciplined,0.495,0.615,986.26,0.4
118,Weekend_Impulse,0.631,0.59,963.33,0.5
119,Salary_Splurger,0.524,0.515,1016.19,0.5
120,Emotional_Night,0.835,0.315,333.29,0.6
121,Disciplined,0.475,0.774,979.03,0.4
122,Disciplined,0.365,0.74,864.91,0.4
123,Salary_Splurger,0.74,0.533,1431.02,0.5
124,Disciplined,0.479,0.796,780.71,0.4
125,Disciplined,0.35,0.799,775.21,0.4
126,Salary_Splurger,0.684,0.351,1605.35,0.5
127,Salary_Splurger,0.586,0.457,2050.03,0.5
128,Salary_Splurger,0.691,0.504,1335.07,0.5
129,Disciplined,0.492,0.788,771.89,0.4
130,Disciplined,0.491,0.627,855.81,0.4
131,Weekend_Impulse,0.517,0.546,840.93,0.5
132,Disciplined,0.43,0.647,993.7,0.4
133,Weekend_Impulse,0.526,0.468,1020.43,0.5
134,Emotional_Night,0.816,0.446,531.33,0.6
135,Disciplined,0.37,0.626,852.85,0.4
136,Disciplined,0.474,0.784,841.11,0.4
137,Weekend_Impulse,0.527,0.568,966.48,0.5
138,Emotional_Night,0.704,0.311,17.55,0.6
139,Emotional_Night,0.805,0.478,566.09,0.6
140,Weekend_Impulse,0.514,0.505,1109.2,0.5
141,Disciplined,0.38,0.615,808.09,0.4
142,Emotional_Night,0.721,0.441,498.5,0.6
143,Emotional_Night,0.736,0.386,395.55,0.6
144,Disciplined,0.437,0.61,850.25,0.4
145,Salary_Splurger,0.72,0.426,1479.35,0.5
146,Weekend_Impulse,0.625,0.481,665.56,0.5
147,Disciplined,0.469,0.78,635.8,0.4
148,Salary_Splurger,0.662,0.475,1038.18,0.5
149,Salary_Splurger,0.588,0.568,1039.12,0.5
150,Emotional_Night,0.816,0.484,673.83,0.6
151,Emotional_Night,0.878,0.38,706.51,0.6
152,Weekend_Impulse,0.663,0.485,1414.84,0.5
153,Disciplined,0.396,0.765,795.44,0.4
154,Salary_Splurger,0.545,0.541,1516.49,0.5
155,Weekend_Impulse,0.585,0.582,934.11,0.5
156,Disciplined,0.419,0.686,854.13,0.4
157,Disciplined,0.484,0.657,666.28,0.4
158,Disciplined,0.313,0.778,864.46,0.4
159,Disciplined,0.306,0.704,843.46,0.4
160,Emotional_Night,0.759,0.273,771.24,0.6
161,Weekend_Impulse,0.548,0.568,1020.6,0.5
162,Disciplined,0.476,0.723,986.62,0.4
163,Emotional_Night,0.861,0.269,493.85,0.6
164,Weekend_Impulse,0.597,0.484,976.46,0.5
165,Emotional_Night,0.848,0.428,522.32,0.6
166,Weekend_Impulse,0.627,0.512,736.26,0.5
167,Disciplined,0.463,0.715,683.33,0.4
168,Weekend_Impulse,0.596,0.576,1131.86,0.5
169,Disciplined,0.45,0.678,777.93,0.4
170,Weekend_Impulse,0.635,0.454,1191.66,0.5
171,Weekend_Impulse,0.568,0.402,842.13,0.5
172,Disciplined,0.401,0.651,756.73,0.4
173,Emotional_Night,0.836,0.472,784.9,0.6
174,Disciplined,0.303,0.756,762.44,0.4
175,Weekend_Impulse,0.565,0.58,525.74,0.5
176,Disciplined,0.423,0.671,857.26,0.4
177,Disciplined,0.372,0.739,816.99,0.4
178,Disciplined,0.42,0.774,915.84,0.4
179,Weekend_Impulse,0.534,0.453,1210.82,0.5
180,Disciplined,0.413,0.751,810.49,0.4
181,Disciplined,0.376,0.606,795.57,0.4
182,Salary_Splurger,0.617,0.464,1556.68,0.5
183,Disciplined,0.496,0.699,803.3,0.4
184,Weekend_Impulse,0.553,0.476,751.88,0.5
185,Emotional_Night,0.742,0.203,468.57,0.6
186,Weekend_Impulse,0.589,0.566,1072.28,0.5
187,Emotional_Night,0.815,0.469,907.47,0.6
188,Weekend_Impulse,0.662,0.523,1106.04,0.5
189,Salary_Splurger,0.628,0.465,1615.51,0.5
190,Emotional_Night,0.864,0.24,472.88,0.6
191,Emotional_Night,0.741,0.442,829.58,0.6
192,Salary_Splurger,0.744,0.395,1331.29,0.5
193,Salary_Splurger,0.729,0.479,1556.68,0.5
194,Disciplined,0.388,0.607,832.76,0.4
195,Salary_Splurger,0.572,0.365,2564.1,0.5
196,Emotional_Night,0.743,0.475,1011.62,0.6
197,Disciplined,0.476,0.729,874.92,0.4
198,Disciplined,0.363,0.777,743.05,0.4
199,Emotional_Night,0.821,0.43,251.77,0.6
200,Disciplined,0.435,0.629,957.15,0.4
201,Disciplined,0.379,0.757,689.27,0.4
202,Disciplined,0.455,0.723,652.15,0.4
203,Emotional_Night,0.797,0.262,739.17,0.6
204,Disciplined,0.451,0.715,693.88,0.4
205,Weekend_Impulse,0.625,0.508,824.44,0.5
206,Weekend_Impulse,0.681,0.542,1174.46,0.5
207,Emotional_Night,0.895,0.329,552.29,0.6
208,Disciplined,0.303,0.646,866.9,0.4
209,Salary_Splurger,0.63,0.312,1078.9,0.5
210,Weekend_Impulse,0.64,0.598,1179.22,0.5
211,Emotional_Night,0.824,0.325,978.82,0.6
212,Emotional_Night,0.857,0.492,892.01,0.6
213,Salary_Splurger,0.553,0.58,1710.66,0.5
214,Disciplined,0.482,0.762,943.56,0.4
215,Disciplined,0.322,0.71,738.64,0.4
216,Disciplined,0.34,0.711,864.08,0.4
217,Disciplined,0.443,0.696,854.99,0.4
218,Weekend_Impulse,0.545,0.577,1263.04,0.5
219,Salary_Splurger,0.524,0.553,1008.98,0.5
220,Weekend_Impulse,0.56,0.592,936.47,0.5
221,Disciplined,0.329,0.757,738.69,0.4
222,Weekend_Impulse,0.649,0.557,748.81,0.5
223,Salary_Splurger,0.653,0.431,1330.4,0.5
224,Weekend_Impulse,0.583,0.596,994.07,0.5
225,Emotional_Night,0.714,0.262,705.07,0.6
226,Emotional_Night,0.823,0.331,212.36,0.6
227,Emotional_Night,0.736,0.225,934.15,0.6
228,Weekend_Impulse,0.639,0.431,1303.86,0.5
229,Emotional_Night,0.822,0.291,705.36,0.6
230,Salary_Splurger,0.748,0.312,1522.12,0.5
231,Emotional_Night,0.826,0.378,742.47,0.6
232,Emotional_Night,0.882,0.415,1031.56,0.6
233,Disciplined,0.463,0.779,917.35,0.4
234,Disciplined,0.423,0.657,942.65,0.4
235,Emotional_Night,0.783,0.309,423.25,0.6
236,Salary_Splurger,0.537,0.342,966.72,0.5
237,Disciplined,0.47,0.774,853.76,0.4
238,Weekend_Impulse,0.697,0.535,640.16,0.5
239,Disciplined,0.435,0.799,923.96,0.4
240,Disciplined,0.42,0.641,827.52,0.4
241,Emotional_Night,0.829,0.242,776.1,0.6
242,Salary_Splurger,0.587,0.351,1967.56,0.5
243,Disciplined,0.307,0.61,771.73,0.4
244,Salary_Splurger,0.515,0.481,775.64,0.5
245,Disciplined,0.472,0.766,658.45,0.4
246,Disciplined,0.436,0.779,800.82,0.4
247,Disciplined,0.499,0.648,993.88,0.4
248,Salary_Splurger,0.688,0.494,1363.04,0.5
249,Disciplined,0.486,0.675,791.93,0.4
250,Emotional_Night,0.815,0.248,485.95,0.6
251,Emotional_Night,0.828,0.374,127.26,0.6
252,Weekend_Impulse,0.577,0.579,784.4,0.5
253,Disciplined,0.492,0.626,767.56,0.4
254,Emotional_Night,0.885,0.231,758.33,0.6
255,Disciplined,0.437,0.683,970.83,0.4
256,Disciplined,0.361,0.638,802.72,0.4
257,Disciplined,0.307,0.635,949.65,0.4
258,Disciplined,0.331,0.737,919.08,0.4
259,Emotional_Night,0.758,0.216,500.42,0.6
260,Weekend_Impulse,0.677,0.547,1002.6,0.5
261,Disciplined,0.318,0.736,832.84,0.4
262,Disciplined,0.443,0.61,1013.91,0.4
263,Salary_Splurger,0.774,0.303,1555.89,0.5
264,Emotional_Night,0.778,0.365,612.99,0.6
265,Emotional_Night,0.735,0.319,625.25,0.6
266,Salary_Splurger,0.681,0.326,1745.65,0.5
267,Disciplined,0.446,0.609,716.51,0.4
268,Weekend_Impulse,0.58,0.46,973.61,0.5
269,Salary_Splurger,0.699,0.426,862.77,0.5
270,Disciplined,0.454,0.634,788.17,0.4
271,Disciplined,0.486,0.656,786.9,0.4
272,Disciplined,0.394,0.682,753.39,0.4
273,Weekend_Impulse,0.502,0.435,830.69,0.5
274,Weekend_Impulse,0.608,0.505,925.63,0.5
275,Emotional_Night,0.859,0.446,524.27,0.6
276,Disciplined,0.478,0.763,860.32,0.4
277,Disciplined,0.414,0.674,864.57,0.4
278,Emotional_Night,0.867,0.267,441.86,0.6
279,Disciplined,0.371,0.747,836.7,0.4
280,Disciplined,0.496,0.658,820.63,0.4
281,Disciplined,0.443,0.66,866.23,0.4
282,Disciplined,0.36,0.682,962.69,0.4
283,Disciplined,0.448,0.706,914.47,0.4
284,Emotional_Night,0.852,0.37,262.54,0.6
285,Weekend_Impulse,0.618,0.435,1249.03,0.5
286,Disciplined,0.322,0.715,874.51,0.4
287,Disciplined,0.325,0.625,841.65,0.4
288,Salary_Splurger,0.791,0.333,1707.32,0.5
289,Salary_Splurger,0.654,0.377,1484.34,0.5
290,Emotional_Night,0.711,0.262,736.41,0.6
291,Weekend_Impulse,0.588,0.422,781.19,0.5
292,Salary_Splurger,0.637,0.319,1525.72,0.5
293,Emotional_Night,0.849,0.434,655.6,0.6
294,Emotional_Night,0.791,0.274,711.28,0.6
295,Weekend_Impulse,0.624,0.502,600.3,0.5
296,Disciplined,0.315,0.604,789.62,0.4
297,Disciplined,0.453,0.697,829.43,0.4
298,Disciplined,0.418,0.777,941.43,0.4
299,Disciplined,0.306,0.624,856.1,0.4
300,Weekend_Impulse,0.675,0.574,983.87,0.5
301,Disciplined,0.348,0.602,750.88,0.4
302,Salary_Splurger,0.718,0.321,1436.14,0.5
303,Weekend_Impulse,0.542,0.587,1116.72,0.5
304,Disciplined,0.361,0.696,710.89,0.4
305,Emotional_Night,0.703,0.387,518.28,0.6
306,Disciplined,0.323,0.62,717.09,0.4
307,Disciplined,0.351,0.732,684.54,0.4
308,Disciplined,0.331,0.766,778.94,0.4
309,Disciplined,0.407,0.745,951.18,0.4
310,Weekend_Impulse,0.646,0.534,944.95,0.5
311,Disciplined,0.469,0.692,694.4,0.4
312,Disciplined,0.338,0.639,904.87,0.4
313,Disciplined,0.368,0.649,783.09,0.4
314,Disciplined,0.338,0.728,750.36,0.4
315,Weekend_Impulse,0.509,0.535,1244.93,0.5
316,Disciplined,0.366,0.774,803.94,0.4
317,Emotional_Night,0.783,0.372,681.82,0.6
318,Disciplined,0.414,0.664,793.5,0.4
319,Weekend_Impulse,0.662,0.591,865.14,0.5
320,Weekend_Impulse,0.561,0.471,1196.04,0.5
321,Disciplined,0.327,0.792,895.73,0.4
322,Weekend_Impulse,0.544,0.592,1164.1,0.5
323,Weekend_Impulse,0.602,0.435,925.86,0.5
324,Disciplined,0.411,0.778,796.53,0.4
325,Disciplined,0.391,0.717,939.05,0.4
326,Salary_Splurger,0.575,0.501,1429.03,0.5
327,Weekend_Impulse,0.692,0.428,1087.15,0.5
328,Weekend_Impulse,0.645,0.515,1190.32,0.5
329,Weekend_Impulse,0.63,0.559,1100.23,0.5
330,Disciplined,0.41,0.636,799.79,0.4
331,Emotional_Night,0.723,0.442,506.14,0.6
332,Weekend_Impulse,0.501,0.466,1243.64,0.5
333,Disciplined,0.491,0.72,683.62,0.4
334,Emotional_Night,0.725,0.351,279.71,0.6
335,Weekend_Impulse,0.675,0.564,1189.16,0.5
336,Emotional_Night,0.849,0.266,599.01,0.6
337,Salary_Splurger,0.514,0.532,1108.47,0.5
338,Salary_Splurger,0.796,0.384,1111.75,0.5
339,Disciplined,0.413,0.723,777.91,0.4
340,Weekend_Impulse,0.519,0.465,988.57,0.5
341,Disciplined,0.339,0.651,817.16,0.4
342,Disciplined,0.474,0.769,701.72,0.4
343,Disciplined,0.44,0.786,722.07,0.4
344,Weekend_Impulse,0.519,0.558,1302.44,0.5
345,Disciplined,0.466,0.699,703.94,0.4
346,Disciplined,0.423,0.737,709.58,0.4
347,Weekend_Impulse,0.501,0.562,923.95,0.5
348,Salary_Splurger,0.778,0.513,1933.33,0.5
349,Weekend_Impulse,0.545,0.457,1013.99,0.5
350,Emotional_Night,0.871,0.237,626.07,0.6
351,Disciplined,0.313,0.756,811.01,0.4
352,Emotional_Night,0.844,0.244,431.73,0.6
353,Salary_Splurger,0.704,0.46,1828.14,0.5
354,Weekend_Impulse,0.678,0.593,533.35,0.5
355,Salary_Splurger,0.733,0.507,1799.95,0.5
356,Salary_Splurger,0.638,0.557,1632.27,0.5
357,Emotional_Night,0.705,0.498,825.54,0.6
358,Disciplined,0.427,0.692,900.93,0.4
359,Weekend_Impulse,0.648,0.536,1282.01,0.5
360,Emotional_Night,0.705,0.454,765.7,0.6
361,Disciplined,0.377,0.758,570.34,0.4
362,Disciplined,0.415,0.707,862.01,0.4
363,Emotional_Night,0.781,0.238,312.04,0.6
364,Disciplined,0.408,0.65,797.96,0.4
365,Weekend_Impulse,0.508,0.463,1133.41,0.5
366,Salary_Splurger,0.632,0.47,1333.48,0.5
367,Disciplined,0.321,0.617,878.02,0.4
368,Emotional_Night,0.765,0.299,500.81,0.6
369,Disciplined,0.395,0.655,740.24,0.4
370,Weekend_Impulse,0.504,0.584,997.2,0.5
371,Disciplined,0.47,0.695,973.84,0.4
372,Disciplined,0.496,0.763,765.71,0.4
373,Emotional_Night,0.88,0.451,320.35,0.6
374,Weekend_Impulse,0.695,0.463,1142.81,0.5
375,Salary_Splurger,0.788,0.437,1185.26,0.5
376,Salary_Splurger,0.687,0.5,2000.59,0.5
377,Weekend_Impulse,0.665,0.428,627.94,0.5
378,Disciplined,0.41,0.66,916.9,0.4
379,Weekend_Impulse,0.625,0.487,1150.68,0.5
380,Disciplined,0.362,0.674,854.17,0.4
381,Disciplined,0.392,0.652,811.19,0.4
382,Disciplined,0.462,0.746,769.73,0.4
383,Weekend_Impulse,0.634,0.492,1030.29,0.5
384,Emotional_Night,0.731,0.415,679.61,0.6
385,Emotional_Night,0.804,0.321,892.65,0.6
386,Disciplined,0.408,0.651,801.02,0.4
387,Weekend_Impulse,0.564,0.497,968.56,0.5
388,Emotional_Night,0.89,0.263,1277.8,0.6
389,Salary_Splurger,0.588,0.309,1360.39,0.5
390,Disciplined,0.456,0.797,855.7,0.4
391,Disciplined,0.38,0.684,790.34,0.4
392,Disciplined,0.301,0.672,791.92,0.4
393,Emotional_Night,0.704,0.291,437.89,0.6
394,Weekend_Impulse,0.552,0.581,1165.3,0.5
395,Weekend_Impulse,0.7,0.405,899.05,0.5
396,Weekend_Impulse,0.575,0.481,954.33,0.5
397,Weekend_Impulse,0.566,0.517,941.56,0.5
398,Weekend_Impulse,0.571,0.588,1229.54,0.5
399,Disciplined,0.325,0.78,930.8,0.4
400,Disciplined,0.321,0.767,728.59,0.4
401,Disciplined,0.345,0.628,905.31,0.4
402,Disciplined,0.348,0.768,675.47,0.4
403,Weekend_Impulse,0.551,0.542,1324.79,0.5
404,Weekend_Impulse,0.516,0.418,1131.64,0.5
405,Weekend_Impulse,0.658,0.58,1291.23,0.5
406,Salary_Splurger,0.504,0.401,1643.25,0.5
407,Disciplined,0.477,0.653,1004.29,0.4
408,Weekend_Impulse,0.588,0.584,1017.7,0.5
409,Disciplined,0.345,0.613,938.97,0.4
410,Weekend_Impulse,0.66,0.433,1046.01,0.5
411,Disciplined,0.312,0.747,722.33,0.4
412,Disciplined,0.355,0.621,511.81,0.4
413,Disciplined,0.336,0.766,709.52,0.4
414,Weekend_Impulse,0.615,0.549,1229.42,0.5
415,Disciplined,0.439,0.768,883.46,0.4
416,Disciplined,0.451,0.772,831.41,0.4
417,Disciplined,0.392,0.79,801.54,0.4
418,Emotional_Night,0.799,0.428,241.09,0.6
419,Emotional_Night,0.805,0.39,75.0,0.6
420,Emotional_Night,0.793,0.457,285.84,0.6
421,Disciplined,0.479,0.629,834.45,0.4
422,Disciplined,0.48,0.705,682.41,0.4
423,Weekend_Impulse,0.682,0.487,1260.19,0.5
424,Disciplined,0.409,0.729,749.42,0.4
425,Disciplined,0.401,0.694,711.92,0.4
426,Emotional_Night,0.866,0.216,584.38,0.6
427,Weekend_Impulse,0.563,0.441,992.62,0.5
428,Emotional_Night,0.804,0.47,474.76,0.6
429,Salary_Splurger,0.696,0.588,282.34,0.5
430,Emotional_Night,0.775,0.362,448.48,0.6
431,Emotional_Night,0.809,0.216,1036.34,0.6
432,Emotional_Night,0.861,0.32,648.39,0.6
433,Disciplined,0.43,0.769,900.42,0.4
434,Emotional_Night,0.769,0.238,583.34,0.6
435,Disciplined,0.374,0.638,698.59,0.4
436,Weekend_Impulse,0.639,0.586,618.43,0.5
437,Disciplined,0.486,0.789,922.38,0.4
438,Weekend_Impulse,0.659,0.548,934.34,0.5
439,Weekend_Impulse,0.562,0.538,1359.4,0.5
440,Disciplined,0.348,0.689,778.88,0.4
441,Disciplined,0.458,0.734,795.71,0.4
442,Disciplined,0.387,0.748,694.79,0.4
443,Weekend_Impulse,0.677,0.452,1062.78,0.5
444,Disciplined,0.396,0.723,752.77,0.4
445,Emotional_Night,0.806,0.241,767.08,0.6
446,Weekend_Impulse,0.648,0.565,1181.07,0.5
447,Emotional_Night,0.85,0.33,956.48,0.6
448,Disciplined,0.388,0.783,829.16,0.4
449,Disciplined,0.484,0.7,760.06,0.4
450,Disciplined,0.333,0.758,665.35,0.4
451,Weekend_Impulse,0.577,0.53,724.81,0.5
452,Disciplined,0.328,0.605,870.22,0.4
453,Salary_Splurger,0.638,0.569,2147.61,0.5
454,Weekend_Impulse,0.524,0.559,901.97,0.5
455,Disciplined,0.304,0.65,883.61,0.4
456,Salary_Splurger,0.772,0.432,1329.28,0.5
457,Disciplined,0.381,0.633,834.42,0.4
458,Emotional_Night,0.811,0.362,993.1,0.6
459,Disciplined,0.414,0.778,634.23,0.4
460,Weekend_Impulse,0.545,0.567,1077.09,0.5
461,Disciplined,0.413,0.602,842.4,0.4
462,Disciplined,0.437,0.702,891.45,0.4
463,Weekend_Impulse,0.557,0.503,1074.17,0.5
464,Disciplined,0.487,0.63,672.23,0.4
465,Weekend_Impulse,0.694,0.588,1094.9,0.5
466,Weekend_Impulse,0.54,0.419,953.71,0.5
467,Weekend_Impulse,0.697,0.4,884.43,0.5
468,Salary_Splurger,0.736,0.474,1651.02,0.5
469,Emotional_Night,0.895,0.368,1012.77,0.6
470,Emotional_Night,0.772,0.372,531.4,0.6
471,Disciplined,0.369,0.643,915.3,0.4
472,Emotional_Night,0.785,0.32,624.86,0.6
473,Weekend_Impulse,0.546,0.53,317.57,0.5
474,Salary_Splurger,0.55,0.349,1412.09,0.5
475,Emotional_Night,0.889,0.4,683.82,0.6
476,Weekend_Impulse,0.681,0.462,1044.34,0.5
477,Disciplined,0.407,0.655,921.7,0.4
478,Disciplined,0.362,0.702,835.66,0.4
479,Weekend_Impulse,0.614,0.412,501.51,0.5
480,Weekend_Impulse,0.643,0.457,971.38,0.5
481,Weekend_Impulse,0.522,0.578,932.76,0.5
482,Salary_Splurger,0.543,0.571,1780.45,0.5
483,Disciplined,0.315,0.721,829.33,0.4
484,Disciplined,0.372,0.747,860.99,0.4
485,Disciplined,0.43,0.626,816.19,0.4
486,Salary_Splurger,0.685,0.365,1311.56,0.5
487,Emotional_Night,0.759,0.225,399.02,0.6
488,Emotional_Night,0.722,0.215,604.15,0.6
489,Disciplined,0.322,0.697,793.6,0.4
490,Disciplined,0.47,0.615,731.35,0.4
491,Weekend_Impulse,0.586,0.439,1052.5,0.5
492,Disciplined,0.427,0.621,681.28,0.4
493,Weekend_Impulse,0.604,0.491,1173.53,0.5
494,Salary_Splurger,0.654,0.59,1502.06,0.5
495,Weekend_Impulse,0.594,0.521,615.83,0.5
496,Weekend_Impulse,0.555,0.562,936.73,0.5
497,Weekend_Impulse,0.686,0.581,850.62,0.5
498,Disciplined,0.307,0.718,787.09,0.4
499,Weekend_Impulse,0.501,0.482,1189.4,0.5
500,Emotional_Night,0.82,0.448,2.16,0.6
501,Weekend_Impulse,0.546,0.556,1198.6,0.5
502,Weekend_Impulse,0.678,0.494,995.09,0.5
503,Weekend_Impulse,0.591,0.473,921.98,0.5
504,Emotional_Night,0.891,0.498,636.59,0.6
505,Disciplined,0.471,0.78,807.52,0.4
506,Salary_Splurger,0.52,0.357,868.44,0.5
507,Salary_Splurger,0.793,0.48,1329.69,0.5
508,Emotional_Night,0.777,0.406,687.05,0.6
509,Emotional_Night,0.812,0.327,604.48,0.6
510,Emotional_Night,0.729,0.329,770.22,0.6
511,Weekend_Impulse,0.513,0.585,1075.19,0.5
512,Salary_Splurger,0.674,0.458,1789.82,0.5
513,Disciplined,0.405,0.766,862.99,0.4
514,Disciplined,0.483,0.733,726.6,0.4
515,Weekend_Impulse,0.674,0.475,613.87,0.5
516,Disciplined,0.416,0.777,712.89,0.4
517,Salary_Splurger,0.668,0.401,1927.6,0.5
518,Disciplined,0.36,0.639,622.22,0.4
519,Salary_Splurger,0.585,0.355,1657.21,0.5
520,Emotional_Night,0.757,0.321,349.51,0.6
521,Disciplined,0.303,0.649,986.69,0.4
522,Weekend_Impulse,0.593,0.566,1182.79,0.5
523,Weekend_Impulse,0.523,0.428,989.02,0.5
524,Salary_Splurger,0.671,0.596,2450.08,0.5
525,Emotional_Night,0.877,0.252,697.87,0.6
526,Disciplined,0.408,0.706,904.79,0.4
527,Disciplined,0.404,0.709,870.56,0.4
528,Weekend_Impulse,0.563,0.547,1383.79,0.5
529,Disciplined,0.482,0.674,772.24,0.4
530,Disciplined,0.393,0.602,720.9,0.4
531,Disciplined,0.305,0.735,644.6,0.4
532,Salary_Splurger,0.504,0.347,1720.98,0.5
533,Emotional_Night,0.702,0.396,170.64,0.6
